Test ID,Test name,Test type,Test param 1,Test param 2,Test param 3,Time [s],Trace 1,Trace 2,Trace 3,Trace 4,Trace 5,Trace 6,Trace 7,Trace 8,Trace 9,Trace 10,Metric 1,Metric 2,Metric 3,Metric 4,Metric 5,Metric 6
cfd81545-bb04-45d0-8d69-5f9a043c46e4,Test 2,Type 2,Param 1.1,Param 2.1,Param 3.1,4,0.58,0.65,0.28,1,0.5,0.86,0.42,0.2,0.4,1,,,,,,
cfd81545-bb04-45d0-8d69-5f9a043c46e4,Test 2,Type 2,Param 1.1,Param 2.1,Param 3.1,5,0.43,0.92,0.7,0.43,0.63,0,0.11,0.2,0.44,0.35,,,,,,
cfd81545-bb04-45d0-8d69-5f9a043c46e4,Test 2,Type 2,Param 1.1,Param 2.1,Param 3.1,6,0.7,0.63,0.76,0.53,0.87,0.65,0.42,0.25,0.5,0.51,,,,,,
cfd81545-bb04-45d0-8d69-5f9a043c46e4,Test 2,Type 2,Param 1.1,Param 2.1,Param 3.1,7,0.21,0,0.78,0.28,0.63,0.12,0.37,0.39,0.84,0.05,,,,,,
cfd81545-bb04-45d0-8d69-5f9a043c46e4,Test 2,Type 2,Param 1.1,Param 2.1,Param 3.1,8,0.52,0.48,0.59,0.95,1,0.52,1,0.04,0.1,0.39,,,,,,
cfd81545-bb04-45d0-8d69-5f9a043c46e4,Test 2,Type 2,Param 1.1,Param 2.1,Param 3.1,9,0.62,0.66,0.59,0.59,0.5,0.65,0.37,0.38,0.74,0.38,,,,,,
cfd81545-bb04-45d0-8d69-5f9a043c46e4,Test 2,Type 2,Param 1.1,Param 2.1,Param 3.1,10,0.34,0.65,0.49,0.33,0.75,0.23,0,0.19,0.4,0.45,,,,,,
d19131c3-b86d-47a3-9ab5-fc3a4c63a575,Test 3,Type 3,Param 1.1,Param 2.1,Param 3.1,1,1,0.53,0.85,0.87,0.05,0.95,0.31,1,1,0.83,73.38,319.18,8.49,8.63,9.32,2.77
d19131c3-b86d-47a3-9ab5-fc3a4c63a575,Test 3,Type 3,Param 1.1,Param 2.1,Param 3.1,2,0.53,0.37,0.53,0.84,0,0.52,0.46,0.45,0.84,0.85,,,,,,
d19131c3-b86d-47a3-9ab5-fc3a4c63a575,Test 3,Type 3,Param 1.1,Param 2.1,Param 3.1,3,0.76,1,0.86,0.45,0.08,0.31,0.08,0.16,0.31,0.82,,,,,,
d19131c3-b86d-47a3-9ab5-fc3a4c63a575,Test 3,Type 3,Param 1.1,Param 2.1,Param 3.1,4,0,0.33,0,1,0.02,0,0.92,0,0,1,,,,,,
d19131c3-b86d-47a3-9ab5-fc3a4c63a575,Test 3,Type 3,Param 1.1,Param 2.1,Param 3.1,5,0.25,0.02,0.66,0.62,0.07,0.28,0.08,0.42,0.82,0.85,,,,,,
d19131c3-b86d-47a3-9ab5-fc3a4c63a575,Test 3,Type 3,Param 1.1,Param 2.1,Param 3.1,6,0.3,0,0.83,0.99,0.05,0.27,0.54,0.33,0.67,0.86,,,,,,
d19131c3-b86d-47a3-9ab5-fc3a4c63a575,Test 3,Type 3,Param 1.1,Param 2.1,Param 3.1,7,0.68,0.54,0.73,0.94,1,0.53,0.38,0.47,0.94,0,,,,,,
d19131c3-b86d-47a3-9ab5-fc3a4c63a575,Test 3,Type 3,Param 1.1,Param 2.1,Param 3.1,8,0.88,0.06,1,0.93,0.28,1,0,0.46,0.88,1,,,,,,
d19131c3-b86d-47a3-9ab5-fc3a4c63a575,Test 3,Type 3,Param 1.1,Param 2.1,Param 3.1,9,0.22,0.02,0.36,0.37,0.05,0.38,0.08,0.25,0.49,0.81,,,,,,
d19131c3-b86d-47a3-9ab5-fc3a4c63a575,Test 3,Type 3,Param 1.1,Param 2.1,Param 3.1,10,0.54,0.37,0.71,0,0.02,0.48,1,0.35,0.71,0.79,,,,,,
4ce8a7da-fb3b-45fb-90df-4658fc3f6db3,Test 4,Type 3,Param 1.1,Param 2.1,Param 3.1,1,0.45,1,0.47,0.37,0.12,0.28,0.93,1,1,1,87.7,659.14,3.87,9.28,5.12,7.01
4ce8a7da-fb3b-45fb-90df-4658fc3f6db3,Test 4,Type 3,Param 1.1,Param 2.1,Param 3.1,2,0.09,0.05,0.12,0.14,0.05,0.21,0,0.66,0.83,0.97,,,,,,
4ce8a7da-fb3b-45fb-90df-4658fc3f6db3,Test 4,Type 3,Param 1.1,Param 2.1,Param 3.1,3,0.23,0.41,0.11,0.17,0.09,0.39,0.13,0,0,0,,,,,,
4ce8a7da-fb3b-45fb-90df-4658fc3f6db3,Test 4,Type 3,Param 1.1,Param 2.1,Param 3.1,4,0.18,0.59,0.37,0.17,1,0,0.27,0.11,0.13,0.25,,,,,,
4ce8a7da-fb3b-45fb-90df-4658fc3f6db3,Test 4,Type 3,Param 1.1,Param 2.1,Param 3.1,5,1,0.45,1,1,0.04,1,0.73,0.09,0.12,0.28,,,,,,
4ce8a7da-fb3b-45fb-90df-4658fc3f6db3,Test 4,Type 3,Param 1.1,Param 2.1,Param 3.1,6,0,0.02,0.17,0,0,0.03,0.27,0.01,0.01,0.28,,,,,,
4ce8a7da-fb3b-45fb-90df-4658fc3f6db3,Test 4,Type 3,Param 1.1,Param 2.1,Param 3.1,7,0.09,0,0,0.08,0.05,0.34,0.27,0.03,0.04,0.34,,,,,,
4ce8a7da-fb3b-45fb-90df-4658fc3f6db3,Test 4,Type 3,Param 1.1,Param 2.1,Param 3.1,8,0.17,0.79,0,0.04,0.04,0.25,1,0.04,0.06,0.29,,,,,,
4ce8a7da-fb3b-45fb-90df-4658fc3f6db3,Test 4,Type 3,Param 1.1,Param 2.1,Param 3.1,9,0.17,0.27,0.01,0.3,0.02,0.35,0.13,0.55,0.7,0.77,,,,,,
4ce8a7da-fb3b-45fb-90df-4658fc3f6db3,Test 4,Type 3,Param 1.1,Param 2.1,Param 3.1,10,0.27,0.51,0.45,0.12,0.04,0.15,0.27,0.13,0.16,0.3,,,,,,
2bb9ff0a-ffa3-485f-bcb6-22e9c02e9b8c,Test 5,Type 3,Param 1.1,Param 2.1,Param 3.1,1,0.75,0.63,0.52,0.79,1,0.69,0.72,1,0,0.41,6.99,720.16,7.07,4.16,3.39,9.06
2bb9ff0a-ffa3-485f-bcb6-22e9c02e9b8c,Test 5,Type 3,Param 1.1,Param 2.1,Param 3.1,2,1,0.31,1,0.72,0.1,1,0,0.12,0.59,0.86,,,,,,
2bb9ff0a-ffa3-485f-bcb6-22e9c02e9b8c,Test 5,Type 3,Param 1.1,Param 2.1,Param 3.1,3,0.41,0.56,0.22,0.34,0.04,0.77,0.72,0,0.49,0.84,,,,,,
2bb9ff0a-ffa3-485f-bcb6-22e9c02e9b8c,Test 5,Type 3,Param 1.1,Param 2.1,Param 3.1,4,0.04,0.32,0,0.14,0,0.69,0.86,0.16,0.64,0,,,,,,
2bb9ff0a-ffa3-485f-bcb6-22e9c02e9b8c,Test 5,Type 3,Param 1.1,Param 2.1,Param 3.1,5,0.63,1,0.35,0,0.58,0.14,0.43,0.26,0.72,1,,,,,,
2bb9ff0a-ffa3-485f-bcb6-22e9c02e9b8c,Test 5,Type 3,Param 1.1,Param 2.1,Param 3.1,6,0.64,0.3,0.55,1,0.1,0.87,0.86,0.14,0.66,0.87,,,,,,
2bb9ff0a-ffa3-485f-bcb6-22e9c02e9b8c,Test 5,Type 3,Param 1.1,Param 2.1,Param 3.1,7,0.06,0,0.33,0.29,0.08,0.33,0.72,0.14,0.64,0.85,,,,,,
2bb9ff0a-ffa3-485f-bcb6-22e9c02e9b8c,Test 5,Type 3,Param 1.1,Param 2.1,Param 3.1,8,0.29,0.61,0.11,0.38,0.12,0.39,0.28,0.35,0.82,0.86,,,,,,
2bb9ff0a-ffa3-485f-bcb6-22e9c02e9b8c,Test 5,Type 3,Param 1.1,Param 2.1,Param 3.1,9,0.4,0.58,0.18,0.44,0.06,0.69,0.72,0.39,0.88,0.88,,,,,,
2bb9ff0a-ffa3-485f-bcb6-22e9c02e9b8c,Test 5,Type 3,Param 1.1,Param 2.1,Param 3.1,10,0,0.03,0.28,0.44,0.12,0,1,0.58,1,0.19,,,,,,
77ee07a2-7417-40cb-9d2c-b2db1fcc0082,Test 6,Type 3,Param 1.1,Param 2.1,Param 3.1,1,1,0.23,1,0.98,0,1,1,0.87,0,0,49.62,605.05,7.54,5.25,4.38,9.95
77ee07a2-7417-40cb-9d2c-b2db1fcc0082,Test 6,Type 3,Param 1.1,Param 2.1,Param 3.1,2,0.21,1,0.09,0,0.5,0.06,0,0,0.26,0.78,,,,,,
77ee07a2-7417-40cb-9d2c-b2db1fcc0082,Test 6,Type 3,Param 1.1,Param 2.1,Param 3.1,3,0.15,0.49,0.2,0.91,0.5,0,0.62,0.1,0.08,0.45,,,,,,
77ee07a2-7417-40cb-9d2c-b2db1fcc0082,Test 6,Type 3,Param 1.1,Param 2.1,Param 3.1,4,0.12,0.48,0.07,0.71,0,0.06,0.31,0.25,0.24,0.48,,,,,,
77ee07a2-7417-40cb-9d2c-b2db1fcc0082,Test 6,Type 3,Param 1.1,Param 2.1,Param 3.1,5,0.08,0,0.15,0.14,0,0.35,0.62,0.29,0.17,0.39,,,,,,
77ee07a2-7417-40cb-9d2c-b2db1fcc0082,Test 6,Type 3,Param 1.1,Param 2.1,Param 3.1,6,0.48,0.45,0.1,0.88,0,0.59,0.23,0.2,0.17,0.43,,,,,,
77ee07a2-7417-40cb-9d2c-b2db1fcc0082,Test 6,Type 3,Param 1.1,Param 2.1,Param 3.1,7,0.58,0.54,0.2,0.59,1,0.69,0.46,0.28,0.28,0.43,,,,,,
77ee07a2-7417-40cb-9d2c-b2db1fcc0082,Test 6,Type 3,Param 1.1,Param 2.1,Param 3.1,8,0,0.01,0,0.31,0.25,0.26,0.23,0.31,0.21,0.4,,,,,,
77ee07a2-7417-40cb-9d2c-b2db1fcc0082,Test 6,Type 3,Param 1.1,Param 2.1,Param 3.1,9,0.52,0.49,0.06,1,0.25,0.62,0.15,0.09,0.08,0.43,,,,,,
77ee07a2-7417-40cb-9d2c-b2db1fcc0082,Test 6,Type 3,Param 1.1,Param 2.1,Param 3.1,10,0.73,0.1,0.83,0.27,0.75,0.89,1,1,1,1,,,,,,
16ccbe91-ea11-491c-9ca6-cc5952397f36,Test 7,Type 2,Param 1.1,Param 2.1,Param 3.1,1,0.97,0.16,1,0.56,0,0.75,0,1,0.48,0.38,33.42,726.33,8.37,3.89,5.14,1.07
16ccbe91-ea11-491c-9ca6-cc5952397f36,Test 7,Type 2,Param 1.1,Param 2.1,Param 3.1,2,0.93,1,0.27,0.32,0.49,0.44,0.68,0.47,0.4,0.3,,,,,,
16ccbe91-ea11-491c-9ca6-cc5952397f36,Test 7,Type 2,Param 1.1,Param 2.1,Param 3.1,3,0.5,0.02,0.79,1,0.25,0.36,0.73,0.1,0.51,0.66,,,,,,
16ccbe91-ea11-491c-9ca6-cc5952397f36,Test 7,Type 2,Param 1.1,Param 2.1,Param 3.1,4,1,0.35,0.32,0.03,0,1,0.45,0.34,1,0,,,,,,
16ccbe91-ea11-491c-9ca6-cc5952397f36,Test 7,Type 2,Param 1.1,Param 2.1,Param 3.1,5,0.26,0,0.17,0.55,0,0.44,0.68,0.11,0.39,0.56,,,,,,
16ccbe91-ea11-491c-9ca6-cc5952397f36,Test 7,Type 2,Param 1.1,Param 2.1,Param 3.1,6,0.6,0.38,0.23,0.2,0.5,0.58,0.41,0.19,0.67,0.65,,,,,,
16ccbe91-ea11-491c-9ca6-cc5952397f36,Test 7,Type 2,Param 1.1,Param 2.1,Param 3.1,7,0.83,0.73,0.55,0.44,1,0.4,0.36,0.06,0.46,0.94,,,,,,
16ccbe91-ea11-491c-9ca6-cc5952397f36,Test 7,Type 2,Param 1.1,Param 2.1,Param 3.1,8,0.28,0,0,0,0.5,0.64,1,0.24,0.56,1,,,,,,
16ccbe91-ea11-491c-9ca6-cc5952397f36,Test 7,Type 2,Param 1.1,Param 2.1,Param 3.1,9,0.24,0.02,0.37,0.18,0.5,0.43,0.27,0.09,0.49,0.28,,,,,,
16ccbe91-ea11-491c-9ca6-cc5952397f36,Test 7,Type 2,Param 1.1,Param 2.1,Param 3.1,10,0,0.36,0.19,0.23,0.75,0,0.27,0,0,0.88,,,,,,
2fd8611c-607d-4171-94e5-7b4e0aec3813,Test 8,Type 4,Param 1.1,Param 2.1,Param 3.1,1,0.86,1,0.69,0.66,0.99,0.82,0.1,1,1,1,84.85,132.02,2.93,3.11,5.25,4.37
2fd8611c-607d-4171-94e5-7b4e0aec3813,Test 8,Type 4,Param 1.1,Param 2.1,Param 3.1,2,0.71,0,0,0.72,0,0.77,0,0.44,0.75,0.83,,,,,,
2fd8611c-607d-4171-94e5-7b4e0aec3813,Test 8,Type 4,Param 1.1,Param 2.1,Param 3.1,3,0.61,0.01,0.05,0.64,0,0.67,0.83,0.19,0.34,0.51,,,,,,
2fd8611c-607d-4171-94e5-7b4e0aec3813,Test 8,Type 4,Param 1.1,Param 2.1,Param 3.1,4,0.71,0.01,0.37,0.65,0,0.76,0.5,0,0,0,,,,,,
2fd8611c-607d-4171-94e5-7b4e0aec3813,Test 8,Type 4,Param 1.1,Param 2.1,Param 3.1,5,1,0.49,0.54,1,0.98,1,1,0.04,0.08,0.27,,,,,,
2fd8611c-607d-4171-94e5-7b4e0aec3813,Test 8,Type 4,Param 1.1,Param 2.1,Param 3.1,6,0.53,0.02,0.29,0.61,1,0.57,0.73,0.14,0.22,0.52,,,,,,
2fd8611c-607d-4171-94e5-7b4e0aec3813,Test 8,Type 4,Param 1.1,Param 2.1,Param 3.1,7,0.5,0.03,0.18,0.72,0,0.53,0.13,0.18,0.34,0.54,,,,,,
2fd8611c-607d-4171-94e5-7b4e0aec3813,Test 8,Type 4,Param 1.1,Param 2.1,Param 3.1,8,0.21,0,0.76,0.18,0,0.24,0.07,0.03,0.05,0.26,,,,,,
2fd8611c-607d-4171-94e5-7b4e0aec3813,Test 8,Type 4,Param 1.1,Param 2.1,Param 3.1,9,0.22,0.51,0.78,0,0,0.21,0.23,0.06,0.1,0.36,,,,,,
2fd8611c-607d-4171-94e5-7b4e0aec3813,Test 8,Type 4,Param 1.1,Param 2.1,Param 3.1,10,0,0.04,1,0.07,0.99,0,0.53,0.1,0.18,0.42,,,,,,
e39c2fdd-07f0-4a0e-829c-ff84e8c4e3ed,Test 9,Type 3,Param 1.1,Param 2.1,Param 3.1,1,1,1,0.78,1,0.97,0.8,1,0.8,0,0.21,72.73,116.56,4.91,3.34,5.18,3.84
e39c2fdd-07f0-4a0e-829c-ff84e8c4e3ed,Test 9,Type 3,Param 1.1,Param 2.1,Param 3.1,2,0.69,0.82,0.2,0,0.33,0.63,0,0.51,0.22,0.5,,,,,,
e39c2fdd-07f0-4a0e-829c-ff84e8c4e3ed,Test 9,Type 3,Param 1.1,Param 2.1,Param 3.1,3,0.61,0,0.05,0.45,0,1,0.07,1,1,1,,,,,,
e39c2fdd-07f0-4a0e-829c-ff84e8c4e3ed,Test 9,Type 3,Param 1.1,Param 2.1,Param 3.1,4,0,0,0.28,0.68,0,0,0.27,0.41,0.13,0.49,,,,,,
e39c2fdd-07f0-4a0e-829c-ff84e8c4e3ed,Test 9,Type 3,Param 1.1,Param 2.1,Param 3.1,5,0.74,0.31,0.23,0.08,1,0.97,0.27,0.51,0.23,0.48,,,,,,
e39c2fdd-07f0-4a0e-829c-ff84e8c4e3ed,Test 9,Type 3,Param 1.1,Param 2.1,Param 3.1,6,0.84,0.37,1,0.3,0,0.88,0.4,0,0.15,0.73,,,,,,
e39c2fdd-07f0-4a0e-829c-ff84e8c4e3ed,Test 9,Type 3,Param 1.1,Param 2.1,Param 3.1,7,0.73,0.44,0.06,0.52,0.33,0.92,0.8,0.11,0.24,0.73,,,,,,
e39c2fdd-07f0-4a0e-829c-ff84e8c4e3ed,Test 9,Type 3,Param 1.1,Param 2.1,Param 3.1,8,0.66,0.01,0.55,0.49,0.33,0.92,0.47,0.03,0.16,0,,,,,,
e39c2fdd-07f0-4a0e-829c-ff84e8c4e3ed,Test 9,Type 3,Param 1.1,Param 2.1,Param 3.1,9,0.48,0.32,0,0.35,0,0.64,0.6,0.55,0.26,0.52,,,,,,
e39c2fdd-07f0-4a0e-829c-ff84e8c4e3ed,Test 9,Type 3,Param 1.1,Param 2.1,Param 3.1,10,0.49,0.29,0.4,0.17,0.67,0.57,0.2,0.22,0.35,0.72,,,,,,
799e8bd6-ddf3-4cf9-9ba6-32b00dd84064,Test 10,Type 2,Param 1.1,Param 2.1,Param 3.1,1,1,1,1,1,0.95,0.59,0,1,0,0.99,13.18,327.91,5.1,7.62,9.85,6.3
799e8bd6-ddf3-4cf9-9ba6-32b00dd84064,Test 10,Type 2,Param 1.1,Param 2.1,Param 3.1,2,0.34,0.2,0.31,0.53,1,0.71,0.83,0.55,0.8,0.62,,,,,,
799e8bd6-ddf3-4cf9-9ba6-32b00dd84064,Test 10,Type 2,Param 1.1,Param 2.1,Param 3.1,3,0.25,0.01,0.16,0.33,0.5,1,0.83,0,0.2,0.96,,,,,,
799e8bd6-ddf3-4cf9-9ba6-32b00dd84064,Test 10,Type 2,Param 1.1,Param 2.1,Param 3.1,4,0,0.11,0,0.22,0.03,0.05,0,0.43,0.55,0.69,,,,,,
799e8bd6-ddf3-4cf9-9ba6-32b00dd84064,Test 10,Type 2,Param 1.1,Param 2.1,Param 3.1,5,0.04,0.11,0.2,0,0.06,0,0.5,0.25,1,0.99,,,,,,
799e8bd6-ddf3-4cf9-9ba6-32b00dd84064,Test 10,Type 2,Param 1.1,Param 2.1,Param 3.1,6,0.23,0.02,0.59,0,0.03,0.5,0.67,0.52,0.72,0.66,,,,,,
799e8bd6-ddf3-4cf9-9ba6-32b00dd84064,Test 10,Type 2,Param 1.1,Param 2.1,Param 3.1,7,0.29,0.2,0.73,0.71,0.09,0.05,0,0.54,0.87,0.72,,,,,,
799e8bd6-ddf3-4cf9-9ba6-32b00dd84064,Test 10,Type 2,Param 1.1,Param 2.1,Param 3.1,8,0.23,0,0.64,0.59,0.03,0.4,0.17,0.18,0.78,0,,,,,,
799e8bd6-ddf3-4cf9-9ba6-32b00dd84064,Test 10,Type 2,Param 1.1,Param 2.1,Param 3.1,9,0.14,0,0.47,0.38,0.06,0.27,1,0.23,0.87,1,,,,,,
799e8bd6-ddf3-4cf9-9ba6-32b00dd84064,Test 10,Type 2,Param 1.1,Param 2.1,Param 3.1,10,0.33,0.11,0.69,0.25,0,0.5,0.67,0.12,0.64,0.98,,,,,,
68c380f7-7586-46e1-9b85-0a2ecb8f2bb4,Test 1,Type 1,Param 1.1,Param 2.1,Param 3.2,1,0.68,0.07,0.71,1,0,0.99,0.86,0.91,0,0,44.97,193.57,7.36,1.38,9.12,1.44
68c380f7-7586-46e1-9b85-0a2ecb8f2bb4,Test 1,Type 1,Param 1.1,Param 2.1,Param 3.2,2,0.14,0.32,0.2,0.45,0.03,0,0.43,0,0.52,0.71,,,,,,
68c380f7-7586-46e1-9b85-0a2ecb8f2bb4,Test 1,Type 1,Param 1.1,Param 2.1,Param 3.2,3,0,0,0,0.79,0.19,0.97,0.43,0.05,0.62,0.84,,,,,,
68c380f7-7586-46e1-9b85-0a2ecb8f2bb4,Test 1,Type 1,Param 1.1,Param 2.1,Param 3.2,4,0.37,0.59,0.21,0.56,0.25,0.75,0.14,0.75,0.69,0.29,,,,,,
68c380f7-7586-46e1-9b85-0a2ecb8f2bb4,Test 1,Type 1,Param 1.1,Param 2.1,Param 3.2,5,1,1,0.83,0.25,1,0.39,0.43,0.65,0.55,0.13,,,,,,
68c380f7-7586-46e1-9b85-0a2ecb8f2bb4,Test 1,Type 1,Param 1.1,Param 2.1,Param 3.2,6,0.43,0.34,0.39,0.76,0.19,0.65,0.72,0.15,0.61,0.74,,,,,,
68c380f7-7586-46e1-9b85-0a2ecb8f2bb4,Test 1,Type 1,Param 1.1,Param 2.1,Param 3.2,7,0.68,0.76,0.5,0.51,0.25,0.7,0.43,0.45,0.44,0.18,,,,,,
68c380f7-7586-46e1-9b85-0a2ecb8f2bb4,Test 1,Type 1,Param 1.1,Param 2.1,Param 3.2,8,0.85,0.25,0.89,0.48,0.06,0.89,0,0.37,0.81,0.57,,,,,,
68c380f7-7586-46e1-9b85-0a2ecb8f2bb4,Test 1,Type 1,Param 1.1,Param 2.1,Param 3.2,9,0.14,0.11,0.17,0.14,0.16,0.87,0.72,0.03,0.53,1,,,,,,
68c380f7-7586-46e1-9b85-0a2ecb8f2bb4,Test 1,Type 1,Param 1.1,Param 2.1,Param 3.2,10,0.96,0.33,1,0,0.19,1,1,1,1,0.24,,,,,,
d918608f-b270-49a7-90b9-05a9e90577cf,Test 11,Type 1,Param 1.1,Param 2.1,Param 3.2,1,0,0.65,0,1,1,0.34,0.91,0.21,0.08,0.52,12.87,811.98,9.83,1.17,8.51,9
d918608f-b270-49a7-90b9-05a9e90577cf,Test 11,Type 1,Param 1.1,Param 2.1,Param 3.2,2,0.67,1,0.38,0,0,1,0.96,0.42,0.41,0.82,,,,,,
d918608f-b270-49a7-90b9-05a9e90577cf,Test 11,Type 1,Param 1.1,Param 2.1,Param 3.2,3,0.11,0.06,0.32,0.55,0.24,0.47,1,0.56,0.56,0.7,,,,,,
d918608f-b270-49a7-90b9-05a9e90577cf,Test 11,Type 1,Param 1.1,Param 2.1,Param 3.2,4,1,0.63,0.91,0.19,0.16,0.97,0.97,0,0,0.7,,,,,,
d918608f-b270-49a7-90b9-05a9e90577cf,Test 11,Type 1,Param 1.1,Param 2.1,Param 3.2,5,0.15,0.97,0.35,0.7,0.16,0.31,0.95,0.9,0.9,1,,,,,,
d918608f-b270-49a7-90b9-05a9e90577cf,Test 11,Type 1,Param 1.1,Param 2.1,Param 3.2,6,0.26,1,1,0.74,0.2,0,0.91,0.4,0.4,0.83,,,,,,
d918608f-b270-49a7-90b9-05a9e90577cf,Test 11,Type 1,Param 1.1,Param 2.1,Param 3.2,7,0.2,0,0.52,0.53,0.04,0.45,0.96,0.04,0.04,0,,,,,,
d918608f-b270-49a7-90b9-05a9e90577cf,Test 11,Type 1,Param 1.1,Param 2.1,Param 3.2,8,0.32,0.89,0.6,0.49,0.2,0.39,0.91,1,1,0.89,,,,,,
d918608f-b270-49a7-90b9-05a9e90577cf,Test 11,Type 1,Param 1.1,Param 2.1,Param 3.2,9,0.58,0.42,0.33,0.33,0.08,0.92,0.94,0.31,0.3,0.78,,,,,,
d918608f-b270-49a7-90b9-05a9e90577cf,Test 11,Type 1,Param 1.1,Param 2.1,Param 3.2,10,0.44,0.95,0.26,0.5,0.04,0.71,0,0.39,0.39,0.75,,,,,,
56dcbef5-540a-4b7e-9bcc-dfd7b9db4b10,Test 12,Type 5,Param 1.1,Param 2.1,Param 3.2,1,1,1,1,0.09,0.7,0.34,0.1,1,1,1,12.65,269.55,8.95,2.96,2.89,3.33
56dcbef5-540a-4b7e-9bcc-dfd7b9db4b10,Test 12,Type 5,Param 1.1,Param 2.1,Param 3.2,2,0.06,0.27,0.13,0.35,0.4,0.6,0.4,0.24,0.51,0.7,,,,,,
56dcbef5-540a-4b7e-9bcc-dfd7b9db4b10,Test 12,Type 5,Param 1.1,Param 2.1,Param 3.2,3,0.12,0.26,0.12,0.73,0.3,0.93,0.2,0.06,0.1,0,,,,,,
56dcbef5-540a-4b7e-9bcc-dfd7b9db4b10,Test 12,Type 5,Param 1.1,Param 2.1,Param 3.2,4,0.27,0.64,0.12,0.78,0.2,1,0.9,0.09,0.15,0.66,,,,,,
56dcbef5-540a-4b7e-9bcc-dfd7b9db4b10,Test 12,Type 5,Param 1.1,Param 2.1,Param 3.2,5,0.15,0.99,0,0.5,0.1,0.22,0,0.38,0.75,0.67,,,,,,
56dcbef5-540a-4b7e-9bcc-dfd7b9db4b10,Test 12,Type 5,Param 1.1,Param 2.1,Param 3.2,6,0.08,0.26,0.11,0,0.4,0.98,0.3,0.28,0.55,0.7,,,,,,
56dcbef5-540a-4b7e-9bcc-dfd7b9db4b10,Test 12,Type 5,Param 1.1,Param 2.1,Param 3.2,7,0,0.28,0.01,0.98,0,0.64,1,0,0,0.67,,,,,,
56dcbef5-540a-4b7e-9bcc-dfd7b9db4b10,Test 12,Type 5,Param 1.1,Param 2.1,Param 3.2,8,0.13,0,0.35,0.23,1,0.52,0.1,0.07,0.1,0.65,,,,,,
56dcbef5-540a-4b7e-9bcc-dfd7b9db4b10,Test 12,Type 5,Param 1.1,Param 2.1,Param 3.2,9,0.31,0.52,0.29,0.36,0,0.8,0.1,0.2,0.37,0.7,,,,,,
56dcbef5-540a-4b7e-9bcc-dfd7b9db4b10,Test 12,Type 5,Param 1.1,Param 2.1,Param 3.2,10,0,0.4,0.08,1,0.2,0,0.5,0.17,0.34,0.69,,,,,,
